fold,model_name,fs_method,best_fs_param,best_svm_params,n_features_selected,roc_auc_score,accuracy_score
1,LASSO_SVM,lasso,0.01,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",14,0.685,0.625
1,MRMR_SVM,mrmr,15.0,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",15,0.7625,0.725
1,MI_SVM,mi,10.0,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",10,0.7250000000000001,0.675
1,RFE_SVM,rfe,20.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",20,0.6799999999999999,0.625
2,LASSO_SVM,lasso,0.01,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}",17,0.6868421052631579,0.5128205128205128
2,MRMR_SVM,mrmr,20.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",20,0.7842105263157895,0.717948717948718
2,MI_SVM,mi,15.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",15,0.6342105263157896,0.5897435897435898
2,RFE_SVM,rfe,10.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",10,0.5815789473684211,0.5897435897435898
3,LASSO_SVM,lasso,0.02,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",21,0.4447368421052632,0.5641025641025641
3,MRMR_SVM,mrmr,10.0,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",10,0.5473684210526316,0.5384615384615384
3,MI_SVM,mi,20.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",20,0.7078947368421052,0.6153846153846154
3,RFE_SVM,rfe,10.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",10,0.6657894736842106,0.6153846153846154
4,LASSO_SVM,lasso,0.03,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",25,0.6697368421052632,0.5897435897435898
4,MRMR_SVM,mrmr,15.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",15,0.5105263157894737,0.5384615384615384
4,MI_SVM,mi,10.0,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}",10,0.36578947368421055,0.5128205128205128
4,RFE_SVM,rfe,20.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",20,0.5131578947368421,0.6153846153846154
5,LASSO_SVM,lasso,0.03,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",29,0.6026315789473684,0.5128205128205128
5,MRMR_SVM,mrmr,20.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",20,0.605263157894737,0.6153846153846154
5,MI_SVM,mi,10.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",10,0.7131578947368421,0.6666666666666666
5,RFE_SVM,rfe,20.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",20,0.6263157894736842,0.5897435897435898
